Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Life expectancy at birth, total (years)",73.468,73.509,73.544,73.573,73.598,73.622,73.646,73.671,73.7,73.738,73.787,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,76.293,76.434
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",51.1541131,51.04841383,50.95726212,50.8902461,50.84186496,50.8084844,50.79615697,50.82061357,50.89760718,51.04419133,51.27612888,51.60645828,52.04314928,52.5858534,53.22891347,53.96655013,54.79170665,55.6823435,56.60979892,57.54877186,58.47069668,59.35359492,60.18556105,60.95336296,61.64736659,62.25928837,62.78768149,63.24626353,63.64898804,64.00521262,64.32570223
Afghanistan,AFG,"Life expectancy at birth, total (years)",50.331,50.999,51.641,52.256,52.842,53.398,53.924,54.424,54.906,55.376,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833,65.173
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",48.8169994,48.88593428,48.92341607,48.93370775,48.92550535,48.90993678,48.89987529,48.90912995,48.95533902,49.05263892,49.21971381,49.4751356,49.81692863,50.23943237,50.73341665,51.28348666,51.86820257,52.46395756,53.0495004,53.61208951,54.14430671,54.64999813,55.13894432,55.61898641,56.08826904,56.54200914,56.97476115,57.3823627,57.76234679,58.11572272,58.44595273
Angola,AGO,"Life expectancy at birth, total (years)",45.306,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763,46.093,46.522,47.059,47.702,48.44,49.263,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.147,61.487
Albania,ALB,"Life expectancy at birth, total (years)",71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573,78.686
Arab World,ARB,"Life expectancy at birth, total (years)",64.35157729,64.73634052,65.04385274,65.41490707,65.78565317,66.19610005,66.554103,66.89714478,67.21809146,67.517689,67.80059145,68.07251864,68.34024632,68.61050561,68.88618776,69.16468296,69.43945938,69.70155529,69.94217387,70.15756008,70.34991642,70.52876168,70.7037978,70.8822177,71.06426877,71.24957097,71.43654717,71.62267043,71.80707511,71.98970937,72.17075988
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",71.939,72.208,72.466,72.715,72.957,73.194,73.428,73.657,73.883,74.106,74.327,74.544,74.758,74.968,75.174,75.376,75.573,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814,77.972,78.12
Argentina,ARG,"Life expectancy at birth, total (years)",71.594,71.813,72.032,72.246,72.453,72.651,72.843,73.029,73.213,73.396,73.576,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667,76.813
Armenia,ARM,"Life expectancy at birth, total (years)",67.879,67.87,67.99,68.218,68.538,68.938,69.404,69.912,70.434,70.944,71.409,71.8,72.112,72.348,72.513,72.626,72.716,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,75.087,75.224
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",71.52,71.765,72.006,72.247,72.489,72.732,72.977,73.222,73.465,73.705,73.94,74.171,74.395,74.613,74.821,75.019,75.204,75.376,75.535,75.683,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,77.016,77.146
Australia,AUS,"Life expectancy at birth, total (years)",76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2
Austria,AUT,"Life expectancy at birth, total (years)",75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293
Azerbaijan,AZE,"Life expectancy at birth, total (years)",64.827,64.745,64.731,64.81,64.991,65.256,65.573,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.747,69.259,69.752,70.201,70.597,70.938,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864,73.005,73.123
Burundi,BDI,"Life expectancy at birth, total (years)",47.829,47.522,47.212,46.953,46.786,46.758,46.905,47.226,47.708,48.339,49.091,49.93,50.81,51.69,52.547,53.369,54.163,54.944,55.721,56.488,57.228,57.925,58.568,59.148,59.665,60.123,60.528,60.898,61.247,61.584,61.916
Belgium,BEL,"Life expectancy at birth, total (years)",76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.79512195
Benin,BEN,"Life expectancy at birth, total (years)",53.812,54.366,54.776,55.042,55.174,55.203,55.17,55.133,55.139,55.218,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.318,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47,61.771,62.077
